,DATE,snap_recipients,population,gdp,unemployment_rate,bachelor,household_income,poverty,minimum_wage,state_abbrev
0,2006-01-01,940755.083333333333,9155.813,453032.100000000000,5.0750000000000000,26.6,66469,14.8,5.15,GA
1,2007-01-01,954911.583333333333,9349.988,455903.975000000000,4.9083333333333333,27.1,63716,14.3,5.15,GA
2,2008-01-01,1067894.166666666667,9504.843,445764.625000000000,6.7833333333333333,27.5,58314,14.7,5.15,GA
3,2009-01-01,1370621.916666666667,9620.846,428740.675000000000,10.4083333333333333,27.5,54862,16.6,5.15,GA
4,2010-01-01,1646831.833333333333,9712.209,433727.200000000000,10.6583333333333333,27.3,54940,18.0,5.15,GA
5,2011-01-01,1817461.750000000000,9803.63,441626.725000000000,10.1583333333333333,27.6,55501,19.2,5.15,GA
6,2012-01-01,1935276.416666666667,9903.58,447764.700000000000,9.0416666666666667,28.2,56890,19.2,5.15,GA
7,2013-01-01,1910972.333333333333,9975.592,454908.950000000000,8.1416666666666667,28.3,54744,19.0,5.15,GA
8,2014-01-01,1822050.833333333333,10071.204,470009.750000000000,7.1416666666666667,29.1,56768,18.4,5.15,GA
9,2015-01-01,1782361.250000000000,10183.353,489182.350000000000,6.0750000000000000,29.9,58058,17.2,5.15,GA
10,2016-01-01,1697700.250000000000,10308.442,506816.175000000000,5.4666666666666667,30.5,60434,16.1,5.15,GA
11,2017-01-01,1612874.750000000000,10417.031,523805.325000000000,4.7583333333333333,30.9,64089,15.1,5.15,GA
12,2018-01-01,1523897.583333333333,10519.389,538604.575000000000,4.0000000000000000,31.9,60229,14.5,5.15,GA
13,2019-01-01,1387860.750000000000,10628.02,557364.425000000000,3.5750000000000000,32.5,60012,13.5,7.25,GA
14,2020-01-01,1657685.583333333333,10729.828,537615.775000000000,6.4833333333333333,34.8,62033,14.0,,GA
15,2021-01-01,.,10788.029,575292.150000000000,3.9166666666666667,34.6,61497,14.2,,GA
