DATE,PPAACO08000A156NCEN
1989-01-01,11.7
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,11.7
1994-01-01,.
1995-01-01,10.4
1996-01-01,10.5
1997-01-01,10.2
1998-01-01,9.9
1999-01-01,8.9
2000-01-01,8.9
2001-01-01,8.7
2002-01-01,9.5
2003-01-01,10.0
2004-01-01,10.2
2005-01-01,10.9
2006-01-01,11.6
2007-01-01,11.5
2008-01-01,11.2
2009-01-01,12.6
2010-01-01,13.2
2011-01-01,13.4
2012-01-01,13.6
2013-01-01,12.9
2014-01-01,12.1
2015-01-01,11.5
2016-01-01,11
2017-01-01,10.3
2018-01-01,9.7
2019-01-01,9.4
2020-01-01,9.0
2021-01-01,9.7
