DATE,PPAACT09000A156NCEN
1989-01-01,7.0
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,9.2
1994-01-01,.
1995-01-01,8.3
1996-01-01,9.0
1997-01-01,8.9
1998-01-01,8.7
1999-01-01,7.5
2000-01-01,7.3
2001-01-01,7.1
2002-01-01,7.8
2003-01-01,8.0
2004-01-01,9.1
2005-01-01,8.3
2006-01-01,8.3
2007-01-01,7.9
2008-01-01,9.1
2009-01-01,9.3
2010-01-01,10.1
2011-01-01,10.8
2012-01-01,10.6
2013-01-01,10.7
2014-01-01,10.8
2015-01-01,10.6
2016-01-01,9.9
2017-01-01,9.7
2018-01-01,10.3
2019-01-01,9.9
2020-01-01,9.7
2021-01-01,10.1
