DATE,CTUR
1976-01-01,9.1750000000000000
1977-01-01,6.9916666666666667
1978-01-01,5.2916666666666667
1979-01-01,5.0833333333333333
1980-01-01,5.6666666666666667
1981-01-01,6.2000000000000000
1982-01-01,6.8583333333333333
1983-01-01,6.0083333333333333
1984-01-01,4.6500000000000000
1985-01-01,4.3916666666666667
1986-01-01,3.7583333333333333
1987-01-01,3.1333333333333333
1988-01-01,2.8750000000000000
1989-01-01,3.6000000000000000
1990-01-01,4.9333333333333333
1991-01-01,6.5500000000000000
1992-01-01,7.3333333333333333
1993-01-01,6.4833333333333333
1994-01-01,5.5416666666666667
1995-01-01,5.3083333333333333
1996-01-01,5.2000000000000000
1997-01-01,4.6833333333333333
1998-01-01,3.2416666666666667
1999-01-01,2.4583333333333333
2000-01-01,2.1083333333333333
2001-01-01,2.8750000000000000
2002-01-01,4.4000000000000000
2003-01-01,5.4500000000000000
2004-01-01,5.0916666666666667
2005-01-01,4.8000000000000000
2006-01-01,4.4250000000000000
2007-01-01,4.4500000000000000
2008-01-01,5.6500000000000000
2009-01-01,8.3250000000000000
2010-01-01,9.5583333333333333
2011-01-01,9.0166666666666667
2012-01-01,8.3583333333333333
2013-01-01,7.9500000000000000
2014-01-01,6.6166666666666667
2015-01-01,5.6166666666666667
2016-01-01,4.8666666666666667
2017-01-01,4.4166666666666667
2018-01-01,3.8833333333333333
2019-01-01,3.6083333333333333
2020-01-01,7.9666666666666667
2021-01-01,6.2916666666666667
2022-01-01,4.1583333333333333
2023-01-01,.
