DATE,MEHOINUSDCA672N
1984-01-01,50829
1985-01-01,50750
1986-01-01,57559
1987-01-01,62813
1988-01-01,59046
1989-01-01,56596
1990-01-01,55227
1991-01-01,58138
1992-01-01,57415
1993-01-01,50554
1994-01-01,54619
1995-01-01,54454
1996-01-01,55142
1997-01-01,53797
1998-01-01,55698
1999-01-01,63080
2000-01-01,65036
2001-01-01,63154
2002-01-01,59004
2003-01-01,66516
2004-01-01,62475
2005-01-01,62573
2006-01-01,65302
2007-01-01,66521
2008-01-01,70125
2009-01-01,67269
2010-01-01,70893
2011-01-01,66702
2012-01-01,77135
2013-01-01,69964
2014-01-01,78216
2015-01-01,80133
2016-01-01,80141
2017-01-01,89838
2018-01-01,92521
2019-01-01,98675
2020-01-01,92337
2021-01-01,90640
