DATE,PPAAME23000A156NCEN
1989-01-01,10.7
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,13.7
1994-01-01,.
1995-01-01,12.3
1996-01-01,12.0
1997-01-01,10.7
1998-01-01,10.3
1999-01-01,10.6
2000-01-01,9.9
2001-01-01,10.2
2002-01-01,11.0
2003-01-01,10.7
2004-01-01,11.5
2005-01-01,12.3
2006-01-01,12.7
2007-01-01,12.2
2008-01-01,12.6
2009-01-01,12.6
2010-01-01,13.1
2011-01-01,14.2
2012-01-01,14.4
2013-01-01,14.0
2014-01-01,14.0
2015-01-01,13.2
2016-01-01,12.3
2017-01-01,11.3
2018-01-01,11.6
2019-01-01,10.9
2020-01-01,10.6
2021-01-01,11.2
