DATE,MORQGSP
2005-01-01,265735.100000000000
2006-01-01,267221.100000000000
2007-01-01,267691.150000000000
2008-01-01,273436.225000000000
2009-01-01,266834.900000000000
2010-01-01,270732.900000000000
2011-01-01,268533.800000000000
2012-01-01,271535.150000000000
2013-01-01,274599.275000000000
2014-01-01,276080.675000000000
2015-01-01,279020.850000000000
2016-01-01,279109.125000000000
2017-01-01,281253.350000000000
2018-01-01,284540.250000000000
2019-01-01,290619.525000000000
2020-01-01,282754.125000000000
2021-01-01,295687.300000000000
2022-01-01,300676.300000000000
2023-01-01,.
