DATE,MTRQGSP
2005-01-01,37373.925000000000
2006-01-01,38577.550000000000
2007-01-01,40438.300000000000
2008-01-01,40471.125000000000
2009-01-01,39513.400000000000
2010-01-01,40793.750000000000
2011-01-01,41875.700000000000
2012-01-01,42340.875000000000
2013-01-01,42968.250000000000
2014-01-01,43829.125000000000
2015-01-01,45395.750000000000
2016-01-01,44436.800000000000
2017-01-01,45974.275000000000
2018-01-01,46584.125000000000
2019-01-01,46886.225000000000
2020-01-01,46750.425000000000
2021-01-01,48976.225000000000
2022-01-01,49752.225000000000
2023-01-01,.
