DATE,NVRQGSP
2005-01-01,137508.800000000000
2006-01-01,142967.050000000000
2007-01-01,144107.075000000000
2008-01-01,139954.250000000000
2009-01-01,128241.250000000000
2010-01-01,129828.375000000000
2011-01-01,130697.850000000000
2012-01-01,129312.900000000000
2013-01-01,129720.900000000000
2014-01-01,130897.350000000000
2015-01-01,136347.375000000000
2016-01-01,140081.200000000000
2017-01-01,145485.550000000000
2018-01-01,150448.000000000000
2019-01-01,156959.125000000000
2020-01-01,146492.525000000000
2021-01-01,159567.325000000000
2022-01-01,165455.075000000000
2023-01-01,.
