DATE,MEHOINUSNVA672N
1984-01-01,64199
1985-01-01,56043
1986-01-01,62044
1987-01-01,61493
1988-01-01,61789
1989-01-01,62071
1990-01-01,64564
1991-01-01,64075
1992-01-01,60568
1993-01-01,66310
1994-01-01,65057
1995-01-01,63904
1996-01-01,66483
1997-01-01,65606
1998-01-01,66232
1999-01-01,67633
2000-01-01,72192
2001-01-01,69649
2002-01-01,67896
2003-01-01,66722
2004-01-01,67872
2005-01-01,67046
2006-01-01,70427
2007-01-01,70811
2008-01-01,69057
2009-01-01,65108
2010-01-01,63760
2011-01-01,56793
2012-01-01,55958
2013-01-01,60399
2014-01-01,57135
2015-01-01,59476
2016-01-01,62583
2017-01-01,64151
2018-01-01,66749
2019-01-01,75143
2020-01-01,64020
2021-01-01,64340
