DATE,BRNV32M647NCEN
1981-01-01,36126.666666666667
1982-01-01,32853.333333333333
1983-01-01,35108.333333333333
1984-01-01,33227.916666666667
1985-01-01,32406.583333333333
1986-01-01,34945.583333333333
1987-01-01,35254.500000000000
1988-01-01,37703.083333333333
1989-01-01,43672.833333333333
1990-01-01,52250.333333333333
1991-01-01,67687.416666666667
1992-01-01,83857.250000000000
1993-01-01,95253.583333333333
1994-01-01,96905.666666666667
1995-01-01,98731.083333333333
1996-01-01,94677.333333333333
1997-01-01,78733.666666666667
1998-01-01,68906.250000000000
1999-01-01,60064.416666666667
2000-01-01,62148.250000000000
2001-01-01,76096.000000000000
2002-01-01,100490.333333333333
2003-01-01,114771.833333333333
2004-01-01,121578.083333333333
2005-01-01,120809.250000000000
2006-01-01,117683.666666666667
2007-01-01,126059.500000000000
2008-01-01,152950.500000000000
2009-01-01,221510.916666666667
2010-01-01,295042.083333333333
2011-01-01,340797.333333333333
2012-01-01,356642.750000000000
2013-01-01,363623.583333333333
2014-01-01,393094.500000000000
2015-01-01,428315.916666666667
2016-01-01,440319.333333333333
2017-01-01,440615.583333333333
2018-01-01,437071.500000000000
2019-01-01,419793.000000000000
2020-01-01,461386.250000000000
2021-01-01,.
