DATE,MEHOINUSPAA672N
1984-01-01,50674
1985-01-01,55087
1986-01-01,56340
1987-01-01,58166
1988-01-01,59048
1989-01-01,60696
1990-01-01,58479
1991-01-01,59076
1992-01-01,56722
1993-01-01,57387
1994-01-01,58156
1995-01-01,61141
1996-01-01,60202
1997-01-01,63349
1998-01-01,64998
1999-01-01,61592
2000-01-01,66541
2001-01-01,66729
2002-01-01,64181
2003-01-01,63398
2004-01-01,63417
2005-01-01,64391
2006-01-01,65302
2007-01-01,63448
2008-01-01,64842
2009-01-01,60979
2010-01-01,60166
2011-01-01,60254
2012-01-01,61362
2013-01-01,64255
2014-01-01,63204
2015-01-01,69061
2016-01-01,68847
2017-01-01,67736
2018-01-01,69619
2019-01-01,74800
2020-01-01,74094
2021-01-01,72627
