DATE,BR42000PAA647NCEN
1989-01-01,911161
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,1214316
1994-01-01,.
1995-01-01,1134379
1996-01-01,.
1997-01-01,929557
1998-01-01,849940
1999-01-01,789275
2000-01-01,751008
2001-01-01,761419
2002-01-01,795450
2003-01-01,930851
2004-01-01,1026142
2005-01-01,1083477
2006-01-01,1121802
2007-01-01,1171858
2008-01-01,1285078
2009-01-01,1521979
2010-01-01,1686558
2011-01-01,1793280
2012-01-01,1779463
2013-01-01,1795656
2014-01-01,1815216
2015-01-01,1863359
2016-01-01,1847222
2017-01-01,1828626
2018-01-01,1770165
2019-01-01,1773406
2020-01-01,1805217
